Identity number	Search word	Text in German	Text in English	Meaning	Displayed meaning	Effective type	Write-protect entry for screens	Variable name	Header or table section?	Change-row EFOP	Insert-row-before-EFOP	Insert-row-after EFOP	Delete-row-before-EFOP	Delete-row-after-EFOP	Select-row EFOP	Move-rows-before EFOP	Move-row validation EFOP	Move-rows-to EFOP	Cancel screen EFOP	Exit screen EFOP	Enter screen EFOP	End of screen EFOP	Screen number	Screen validation EFOP	Footer	Button (after) EFOP	Button (before) EFOP	Exit field EFOP	Field filled EFOP	Field validation EFOP
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Gruppe	Group	I9	always read-only	itgrust	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Gruppennummer	Group number	GRN65	always read-only	itgruppe	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Gruppenbezeichnung	Group description	GRB65	always read-only	itgrbez	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Satznummer	Record no.	P65	always read-only	itsn	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Datensatz-ID	Data record ID	ID65	always read-only	itid	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Datenbanknummer	Database number	AN177	always read-only	itdnr	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Datenbankbezeichnung	Database description	A177	always read-only	itdbez	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Schemaversion	Schema version	ZAE1	always read-only	itschemaversion	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Gruppennummer der Objektgruppe	Group number of object group	GRN65	always read-only	itobjgruppe	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Gruppenbezeichnung der Objektgruppe	Group description of object group	GRB65	always read-only	itobjgrbez	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Datenbanknummer der Objektgruppe	Database number of object group	AN177	always read-only	itobjdnr	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Datenbankbezeichnung der Objektgruppe	Database description of object group	A177	always read-only	itobjdbez	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Gehört das Objekt zur Tabelle?	Does the object belong to the table?	B	always read-only	itobjinzeile	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Anzahl Zeilen im Tabellenteil	Number of rows in the table section	I7	always read-only	itozeilen	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Zu archivierendes Dokument	Document to be archived	DV	always read-only	itdateiarchivieren	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Drucken	Print	BU14	editable	itbudruck	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Drucken	Print	BU8	editable	itbudruck2	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Infosystem	Infosystem	BU14	editable	itbuinfosys	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Aktion auslösen	Trigger action	BU14	editable	itbuaktion	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Markierte Zeile	Selected row	I5	editable	itmarkiertzn	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Identnummer	Identity number	N65	always read-only	itnum65	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Identnummer	Identity number	NK65	always read-only	itnummer	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Identnummer	Identity number	NL65	always read-only	itnummerb	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Suchwort	Search word	SW65	always read-only	itsuch65	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Suchwort	Search word	SWK65	always read-only	itsuch	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Suchwort	Search word	SWL65	always read-only	itsuchb	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Arbeitsbereich	Workspace	GLU20	always read-only	iearb	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Rang des Arbeitsbereiches	Ranking of workspace	IP5	always read-only	ierangarb	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Datenbank	Database	A35	always read-only	iedatname	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Datenbank	Database	A35	always read-only	iedn	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Datenbank	Database	AN35	always read-only	iedatnr	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Gruppenvektor	Group vector	IP9	always read-only	iegrp	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Gruppenliste	Group list	GL85	always read-only	iegrliste	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Gruppennamenliste	List with names of groups	GL40	always read-only	iegrtxt	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Gruppenauswahl	Group selection	BU3	editable	iegrausw	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Berichtskopf	Header	GL200	editable	iebkopf	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Berichtsfuß	Footer	GL200	editable	iebfuss	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Gruppenkopf	Group header	GL200	editable	iegrkopf	No												ek/LBEVOR.ME		10002							
10002	LBEVOR	Bestellvorschläge	Purchase order suggestions	Gruppenfuß	Group footer	GL200	editable	iegrfuss	No												ek/LBEVOR.ME		10002							
